বল	bol
তোমাদের	tomader
খাবি	khabi
কই	koi
কেন	keno
বাঁকে	bake
দেখতেসো	dekteso
পাইলে	paile
ঐটা	oita
ক্লিক	click
কস	kos
কসকি	koski
মনো	mono
কস	kos
মুড়ি	muri
খাবা	khaba
ছি	chi
ছিঃ	chi
মুড়ি	muri
খাবা	khaba
কিনে	kine
ডাটা	data
খাইছে	khaise
খাইসে	khaise
কিনে	kine
সবাই	spobai
কিভাবে	kivabe
শিখায়	shikhai
দাও	dao
ক্লিক	click
দিবো	dibo
বাগানে	bagane
হইছে	hoiche
হইছে	hoice
হয়নাই	hoynai
তুমি	tmi
চালিয়ে	chalie
ইনপুট	input
আপনি	apni
হইলো	hoilo
গায়েব	gayeb
হইয়া	hoia
করতেসি	kortesi
এরর	error
ভুল	error
কিন্তু	but
চালিয়ে	chalie
আসলে	asle
চিক	chik
বালি	bali
পার	paar
গরু	goru
উচু	uchu
বাঁকে	bake
কোথা	kootha
কই	koi
ভালো	valo
প্রোজেক্ট	project
মডেল	model
প্রোজেক্ট	project
গুয়ে	tuie
তুতে	tuie
দুয়ে	tuie
তুয়ে	tuie
